age,transaction_amount,account_balance,num_transactions_today,is_foreign_transaction,transaction_hour,prev_fraud_flag,merchant_distance_km,merchant_risk_score,is_fraud
41.0,2453.81,12686.5,21.0,0.0,9.0,0.0,2438.2,5.2,0
49.0,1574.12,36337.02,37.0,0.0,4.0,0.0,2967.1,8.4,1
38.0,14897.42,23295.64,21.0,0.0,0.0,0.0,4703.6,3.7,0
38.0,9927.23,38586.08,46.0,0.0,17.0,0.0,4281.2,5.5,1
61.0,12914.13,2013.73,34.0,0.0,,0.0,4366.7,9.7,1
-10.0,14901.11,15128.71,42.0,0.0,20.0,0.0,1873.0,1.1,0
42.0,9588.28,22616.51,35.0,0.0,19.0,0.0,2910.5,9.8,1
,40.92,46219.22,25.0,0.0,10.0,0.0,3379.9,7.9,1
50.0,4442.56,4569.65,14.0,0.0,2.0,0.0,1751.0,3.5,0
57.0,14993.4,27362.7,8.0,,9.0,1.0,3759.3,6.7,1
71.0,,41384.22,45.0,1.0,18.0,0.0,1137.8,9.2,1
62.0,8729.33,23587.35,24.0,0.0,20.0,0.0,1619.2,,0
37.0,251.55,37446.77,35.0,0.0,1.0,0.0,4733.7,4.0,0
50.0,12098.02,14439.79,48.0,0.0,23.0,,1466.3,8.8,1
72.0,3163.54,16597.45,2.0,0.0,17.0,0.0,577.2,1.8,0
,10371.62,14396.71,9.0,1.0,13.0,0.0,3883.5,15.0,1
72.0,1412.01,38595.63,42.0,0.0,23.0,0.0,345.4,5.0,0
54.0,8207.28,25282.81,12.0,0.0,14.0,0.0,,3.7,1
71.0,7057.71,1135.55,23.0,1.0,1.0,0.0,2779.4,4.3,1
65.0,14017.45,17292.99,16.0,0.0,13.0,0.0,4874.6,6.1,0
32.0,2204.98,40156.25,23.0,0.0,28.0,0.0,3014.6,6.2,0
33.0,5194.52,12023.54,19.0,0.0,11.0,0.0,528.8,7.0,1
28.0,9609.28,1372.46,39.0,1.0,17.0,0.0,2384.6,8.1,1
25.0,458.74,13919.44,7.0,0.0,23.0,0.0,186.4,2.3,0
53.0,2711.66,38597.09,37.0,0.0,7.0,0.0,1846.9,9.2,0
19.0,11379.89,-99999.0,17.0,0.0,9.0,0.0,4837.8,7.7,1
29.0,214.35,10476.41,5.0,0.0,18.0,0.0,4692.0,2.7,0
35.0,5803.61,25840.61,33.0,0.0,4.0,0.0,4163.7,1.0,0
24.0,,13694.56,17.0,0.0,15.0,0.0,553.7,8.2,1
38.0,11923.46,2952.56,13.0,0.0,5.0,0.0,2968.0,1.9,0
55.0,11731.07,6203.89,34.0,0.0,5.0,0.0,1796.2,7.9,1
74.0,1338.16,38943.49,23.0,0.0,13.0,0.0,1721.3,1.7,0
51.0,931.42,4277.71,36.0,,13.0,0.0,4525.1,7.3,1
58.0,8251.59,22417.21,4.0,1.0,4.0,0.0,2609.4,4.6,1
19.0,8048.67,14511.13,32.0,0.0,10.0,0.0,3105.5,8.4,1
60.0,10747.29,24507.69,3.0,0.0,11.0,0.0,1727.7,1.4,0
72.0,11596.99,32137.96,45.0,0.0,11.0,0.0,4739.9,8.2,1
69.0,10475.78,14381.16,30.0,0.0,12.0,0.0,4048.6,9.7,1
22.0,354.86,5015.52,35.0,0.0,11.0,0.0,2802.1,2.2,0
47.0,12751.85,7348.56,29.0,0.0,19.0,0.0,2964.8,4.2,0
69.0,11900.61,14410.55,40.0,0.0,8.0,1.0,4612.0,9.1,1
59.0,7543.92,19346.91,7.0,1.0,19.0,0.0,1651.9,4.0,0
46.0,3075.32,42295.77,8.0,0.0,20.0,0.0,1695.2,5.4,0
18.0,,38829.93,37.0,0.0,19.0,0.0,2224.0,8.5,0
46.0,9234.44,46170.45,42.0,1.0,7.0,0.0,1369.5,1.3,1
58.0,14894.85,45769.65,37.0,0.0,2.0,0.0,4540.7,8.5,1
43.0,5304.21,37609.29,32.0,0.0,3.0,0.0,3832.3,4.7,1
,6822.5,25463.49,30.0,0.0,3.0,1.0,4239.2,6.2,1
29.0,6819.33,10858.6,27.0,1.0,13.0,1.0,3917.6,9.8,1
21.0,961.79,2347.58,13.0,0.0,10.0,0.0,2595.7,1.9,0
36.0,5017.66,7515.81,48.0,0.0,13.0,0.0,1985.1,9.1,0
70.0,9693.72,23987.52,34.0,0.0,3.0,0.0,2816.0,4.2,1
54.0,10966.43,41608.91,36.0,0.0,11.0,0.0,430.2,9.2,0
39.0,13115.58,39103.91,13.0,0.0,7.0,0.0,4184.1,3.7,1
40.0,12569.86,5829.2,27.0,0.0,20.0,0.0,2246.8,,0
63.0,13089.35,15220.48,45.0,0.0,3.0,0.0,951.5,3.7,0
32.0,4677.86,1438.71,48.0,1.0,23.0,0.0,1582.3,1.5,0
62.0,5211.71,47720.8,46.0,0.0,12.0,0.0,3497.8,1.6,0
55.0,,22743.7,5.0,0.0,9.0,0.0,4776.5,3.8,1
44.0,4146.14,9592.25,35.0,0.0,1.0,0.0,2734.2,7.9,1
35.0,7700.11,1542.66,25.0,0.0,5.0,0.0,205.8,7.7,0
52.0,13346.84,27886.43,44.0,0.0,14.0,0.0,3419.2,7.4,0
43.0,8607.77,35251.93,22.0,0.0,,0.0,347.0,3.7,0
22.0,832.13,5289.06,12.0,0.0,16.0,0.0,3295.4,8.5,1
62.0,825.67,34171.48,49.0,0.0,4.0,0.0,4746.9,1.9,1
53.0,11763.4,9558.16,41.0,0.0,10.0,0.0,477.4,3.1,0
27.0,10842.24,24792.4,30.0,0.0,20.0,0.0,3990.3,2.8,1
42.0,5953.81,10615.73,12.0,0.0,12.0,0.0,832.3,8.0,1
36.0,4809.68,47548.94,18.0,0.0,21.0,0.0,645.7,4.1,0
64.0,8505.7,12935.01,3.0,0.0,9.0,0.0,2121.8,7.4,0
50.0,7436.88,32510.55,40.0,0.0,18.0,0.0,1431.8,8.4,0
74.0,1498.39,26283.93,12.0,0.0,2.0,0.0,1414.0,8.3,0
25.0,5798.14,14909.17,19.0,0.0,15.0,0.0,2715.2,5.6,0
73.0,10990.06,20721.58,3.0,0.0,5.0,0.0,3437.9,9.8,1
39.0,7741.84,28814.9,13.0,0.0,,0.0,3836.6,3.1,0
37.0,6862.8,44128.47,25.0,0.0,5.0,1.0,241.4,5.9,1
70.0,8523.09,33039.96,33.0,0.0,,1.0,2300.6,5.8,1
